id;date;details;status;payment_method;payment_date;payment_amount
1;2019-12-06T18:32:14;Oklahoma communities;ISSUED;PAYPAL;2019-12-07T10:22:04;82279
2;2019-12-06T21:36:27;synthesize Idaho Markets;ISSUED;PAYPAL;2019-12-07T12:53:48;97790
3;2019-12-06T13:54:42;Incredible Fresh Car Tuvalu;PAID;CREDIT_CARD;2019-12-07T02:16:47;99583
4;2019-12-06T22:07:38;Maryland Legacy Unbranded Plastic Chips;PAID;CASH_ON_DELIVERY;2019-12-07T04:42:29;22939
5;2019-12-06T23:10:51;Fantastic;PAID;CASH_ON_DELIVERY;2019-12-06T20:45:18;27095
6;2019-12-07T09:17:09;Senior;CANCELLED;CASH_ON_DELIVERY;2019-12-07T12:06:12;16483
7;2019-12-07T12:33:20;drive online;ISSUED;CREDIT_CARD;2019-12-07T06:37:36;1367
8;2019-12-07T11:50:08;SMS;ISSUED;CREDIT_CARD;2019-12-07T02:22:32;20504
9;2019-12-07T10:05:19;Response;CANCELLED;CASH_ON_DELIVERY;2019-12-07T00:42:04;47621
10;2019-12-06T18:39:11;Gabon SAS Vietnam;ISSUED;CASH_ON_DELIVERY;2019-12-06T19:03:55;78466
